#TYPE Selected.System.Management.Automation.PSCustomObject
"H1","reviewerName","overall","reviewText","reviewTime","day_diff","helpful_yes","helpful_no","total_vote","score_pos_neg_diff","score_average_rating","wilson_lower_bound"
"10","808TREX50","5.0","I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.","2013-11-05","398","0","0","0","0","0.0","0.0"
"11","98020","3.0","It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...","2013-11-20","383","0","0","0","0","0.0","0.0"
"12","9z4cda","5.0","THE NAME OF ITSELF SPEAKS OUT. GO SANDISK GO!","2014-04-07","245","0","0","0","0","0.0","0.0"
"13","A4Q96 ""Gadget Lover""","5.0","Solid SDHC card that is fast (at reading and writing) fast (for recording video and pics), has great capacity, and is reasonably priced. I have had no issues with it.Overall, highly recommend.","2013-11-21","382","0","0","0","0","0.0","0.0"
"14","Aaron ""Aaron""","5.0","Heard that the card's write speed is insufficient, however I have used it extensively and haven't had a single problem with it!!","2014-02-17","294","0","0","0","0","0.0","0.0"
"15","Aaron ""Aaron""","5.0","I bought this to use with my go pro hero 3 black edition. It requires a class 10 MicroSDXC card. So far I've had no issues with it. Fast read/write, came with adapter, small packaging, but that's all it needed! Comes with a nice hard plastic case to keep both dry and together if needed.","2013-04-01","616","0","0","0","0","0.0","0.0"
"16","Aaron Alvarez","5.0","got this because i had a 2 GB one that filled up. i kept getting the insufficient disk space on my phone. my kids take my phone and do selfies. mostly my daughter. I had to get a bigger card. the 2GB one was a carry over from an old phone.needless to say this was sweet. plenty of space. and i dont have to delete pictures anymore. well for now at least.my daughter loves selfies.","2014-02-03","308","0","0","0","0","0.0","0.0"
"17","Aaron F. Virginie","5.0","Class 10 Speed Rating for Seamless Full HD VideoThe SanDisk Ultra UHS-I card features a Class 10 and UHS Speed Class 1 (U1) rating, the highest video performance available for recording uninterrupted Full HD** video.Flawless App PerformanceThis card can retrieve stored data almost instantly, thanks to its up to 30MB/s read capability and fast bus interface. The SanDisk Ultra microSDHC and microSDXC UHS-I cards offer faster app loading and smoother, more fluid app performance.Storage Capacities Up to 64GBThis card has plenty of room to accommodate Full HD videos, MP3s, apps, and other memory-intensive mobile files. Available in sizes up to 64GB, it can store all the apps, music, and video you want.Android App for Easy File ManagementThe included SanDisk Memory Zone app lets you easily view, access, and backup all of your digital files from your phone's memory, additional memory card, and cloud service all in one convenient place. Using the app, you can easily move files from your card to a number of cloud storage services.Durable DesignSanDisk Ultra UHS-I memory cards can capture memories from -13 to 185 degrees Fahrenheit with a shockproof, waterproof, and X-ray-proof design. Your mobile device may not survive, but your SanDisk memory card will.","2013-04-07","610","0","1","1","-1","0.0","0.0"
"18","Aaron Graves","5.0","The read and write speeds are better than the Samsung SD card that I had previously. I would not hesitate to buy another one of these great Micro SD cards from SanDisk. I also own their Clip plus MP3 player and it works very well. I think I'm becoming a fan of the SanDisk products.","2014-02-05","306","0","0","0","0","0.0","0.0"
"19","Aaron","5.0","This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.","2014-07-01","160","0","0","0","0","0.0","0.0"
"20","Aaron","5.0","Works as expected.  High transfer speed.  Nice to have extra microSD adapters lying around since I always seem to misplace them.  Mainly bought it to use in my Nikon DSLR since I can put the card directly into my (CM modded) Nook HD+ tablet in the field and view my images on a larger screen.","2013-10-27","407","0","0","0","0","0.0","0.0"
"21","Aaron","5.0","Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.","2013-12-29","344","0","0","0","0","0.0","0.0"
"22","Aaron Madden","5.0","SanDisk never disappoints. As always SanDisk products are worth every penny. Nice product and quality and works great. I recommend this product to everyone.","2013-05-11","576","0","0","0","0","0.0","0.0"
"23","aaron mckaig","5.0","Good price, works flawless in my Samsung S4! Normal SanDisk quality! That is why I go with this brand and only this brand..","2014-04-04","248","0","0","0","0","0.0","0.0"
"24","Aaron Nash","5.0","San disk is hard to beat.  You will pay more for the brand but you get a quality product.  Would purchase again.","2014-03-23","260","0","0","0","0","0.0","0.0"
"25","Aaron Smith","5.0","Installed in my Blackberry Q10 SQN100-1 and formatted. Works just fine. Plenty of storage space for pictures and videos of my son at the park.","2014-01-28","314","0","0","0","0","0.0","0.0"
"26","Aaron T. Swain","5.0","I just received my card, it is the class 10 64GB with the correct serial#SDSDQUA-064G-A11A. I received it in an unopened SanDisk packaging. I am going to use it on my HTC Rezound, I hope it works. From what I have read, it will work after reformatting the disk. I will update this review if I have any issues using it, if not, my rating will remain unchanged...","2012-07-26","865","1","1","2","0","0.5","0.09453120573423071"
"27","A. Atkinson","5.0","Stuck it in my S2, formatted in settings, works great! Already filled with music, pics and videos...  Get this card, format it right, and you'll have no problems.  If your phone won't do it right, should have got a Samsung! haha...","2012-11-21","747","0","0","0","0","0.0","0.0"
"28","ABailey8833","5.0","I purchased two of these one for my Samsung tablet and one for my samsung galaxy note. Great hardware that is truly speedy, responsive and meets my needs!","2012-12-28","710","1","0","1","1","1.0","0.20654931437723742"
"29","abbadon","5.0","As advertised, specs match.  As long as the device you as using it in can handle it (i.e. USB 3.0, not some crapple bs) it delivers the advertised speed.  P.S. The speed is READ, not WRITE, but you knew that, right?","2013-10-25","409","0","0","0","0","0.0","0.0"
"30","ABC317","5.0","This item is great!  I can't believe how small it is.  Imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space!  Great item.","2013-10-16","418","0","0","0","0","0.0","0.0"
"31","Abdul Purnell Askew SR","5.0","I've been trying for a while to get a hold of a 32GB Micro SD for my phone and tablet.  It's pretty fast compared to the 16GB cards I've been using.  I really saw the performance boost with my phone, which I have many apps, pictures, music, and other documents on.  The phone boots fully stable in about 2 mins as apposed to 5-6 mins.  My computer also can write to these cards much faster than the 16GB ones I was using.  If you phone, tablet or any other device can support it I recommend you purchase these.  Also you pay like half the price using Amazon as opposed to other retail stores who's price is at least double or more.  I've seen these same cards going for about $72 in my area.","2013-04-15","602","0","0","0","0","0.0","0.0"
"32","Abdulrahman J. Alrashed ""dr34m3r""","1.0","I bought 2 of those SanDisk 32 GB microSD , used them on my Galaxy Note and Galaxy S4First one , my phone started saying it was removed , then recognize it again :) then diedI thought it's just a luck , plugged in the 2nd one :) stayed for about 2 months and died suddenly ! and lost everythingnever buying from SanDisk again .. ever","2013-03-08","640","0","0","0","0","0.0","0.0"
"33","Abel Feliciano ""Ace Master""","4.0","The memory card is an excellent condition and work as described. Dependable and easy to use. An excellent choice for the enthusiast who requires more storage.","2012-11-09","759","0","0","0","0","0.0","0.0"
"34","A. Bell","5.0","I've got a couple of these in varying sizes. I've had no problems and no complaints about speed. I always end up buying more because the prices are so low for what you get.","2013-08-18","477","0","0","0","0","0.0","0.0"
"35","A. Berrios","5.0","I only had 8 gigs of memory on my Note 2 and was running out of room. Now I have so much memory space available I don't know what to do with it.","2014-10-05","64","0","0","0","0","0.0","0.0"
"36","Abe The Babe","5.0","Bought it for my Surface Pro. I've had it in there for a few months and I've had no problems. Very fast and stable.","2013-07-30","496","0","0","0","0","0.0","0.0"
"37","Abhi gautam","5.0","I would recommend this card to everyone.Data Transfer speeds - excellent with this card on my Galaxy S2.  Didn't need to format the card or anything. I am 100% satisfied.","2012-07-10","881","1","0","1","1","1.0","0.20654931437723742"
"38","Abraham Arturo Meza Marin","1.0","I bougth this micro SD card after some trubles with other that i got from Kingston, i can tell that SanDisk is other quality, this is the best, my i9300 phone can read a 64GB very fast, the dta transfer speed from my pc to my is amazing, if you are looking for additional storage to you phone, for music, pictures and other type of files, this is for you.Pros-Very good quality materials of construction-Amazing speedUpdate after one year this memory is damaged I can not delete or put new files on it, I can not format this memory, I tried to format with my phone, with my pc, with a camera and nothing, now this is like a 64gb cd, the data in the memory is only available to read but I can not move, or delete it, I bought this memory to be used to backup all my data of my android device but now is only a readable memory I can not write data on it any more, I hope sandisk make a better products in the future!!! Total disagree I will buy a Samsung memory card expected a better quality.","2013-02-19","657","0","0","0","0","0.0","0.0"
"39","Abraham","5.0","Using this in a contout gps camera,  don't waste your time buying any other brand it will be a waste. Buy the best to start with.","2013-12-08","365","0","0","0","0","0.0","0.0"
"40","Abraham Kovler ""ripvanlink""","5.0","This is a fantastic little drive, has all the gigabytes it says, works in all ways I can discern and I use it to hold the flac recordings I play on my excellent Fiio X5 digital audio player. This is the real thing and not one of the fakes that, evidently, are out there.","2014-09-07","92","0","0","0","0","0.0","0.0"
"41","Abram Vargas","5.0","I am very happy with this Micro SD.  I could tell the difference in the response time in my BB curve as well as my Asus tablet.  If you want something that can transfer files Photos, Videos, and Music faster this is the Micro SD card for you. Now I will say this there are faster cards out there but not at this price.  This does the trick for my devices.  Now it you are a Professional Photographer you might want to go with the Ultra 3 Micro SD but if you are an everyday user this will work wonders for you device.","2012-08-13","847","0","0","0","0","0.0","0.0"
"42","A. Brattoli","5.0","I've purchased several of these little babies over the years, and I always buy SanDisk. I've never had one fail, the price is great for the amount of storage you get.","2014-10-03","66","0","0","0","0","0.0","0.0"
"43","Abused Commuter ""abused_commuter""","1.0","Ordered this for a Galaxy S3.  Lasted a few months and then broke.  Is not accessible on several different PC's.Says ""limited lifetime"" warranty - BS.  You have ONE MONTH for Eco Zone.  Not only did I lose pictures but now I am out $$ because of a crappy return policy.In the future I will be buying Kingston, not Sandisk.-----------------Update:  Amazon Customer service made good and refunded my purchase price.  I still will not be buying any more Sandisk memory cards however...","2013-07-20","506","0","1","1","-1","0.0","0.0"
"44","abushaheed","4.0","more like 8mb/s in my Note 10.1 and that's using SanDisk's own app. A bit faster in my Note II, but still a disappointment for devices with quad core processors. Not sure if it's the card or the device, so benefit of the doubt and four stars.","2013-06-01","555","0","0","0","0","0.0","0.0"
"45","A. Bystricky ""Tony B.""","5.0","not much to say other than plug and play, good quality and fits a lot of video ...good good good","2014-02-17","294","0","0","0","0","0.0","0.0"
"46","AC500Driver","5.0","A new camcorder required fast SD (micro) and SanDisk products have always provided first class service, so the extra cost is well worth it.","2014-03-04","279","0","0","0","0","0.0","0.0"
"47","A. Carr ""game hater""","5.0","This tiny marvel does what it claims.  The only possible problem is that it is SO small that you may lose it if you happen to drop it during handling.  But with 16 GB capacity, you won't be handling it often.","2014-04-29","223","0","0","0","0","0.0","0.0"
"48","acballer","5.0","It does the job and the price was right. It came quickly so I'm very happy for the purchase.  I would recommend it and would but it again.","2014-01-19","323","0","0","0","0","0.0","0.0"
"49","Ace of Sevens","2.0","I used this for a few months in my phone, then it decided to quit mounting. I lost some pictures of pets who died shortly after. I got a replacement card, but I had to send in the old one, giving up any chance of recovering its contents. The new one's worked fine, but failing after 3 months in inexcusable.","2014-01-31","311","0","0","0","0","0.0","0.0"
"50","ac","5.0","A memory card either works or it doesn't. This was always going to be a one star or five star review - no middle ground.The adapter is a nice bonus too, though I don't think I have anything to use it with.","2013-07-21","505","0","0","0","0","0.0","0.0"
"51","AC","5.0","I purchased this card to use in my ContourROAM2 and it works great.  All I had to do was put the card in the camera, format it, and I was good to go.  It allows me to easily record hours of 720p/60fps video without running out of space or slowing down.","2013-01-14","693","0","0","0","0","0.0","0.0"
"52","A. Chock","5.0","Upgraded from 32GB to 64GB card for my Galaxy Note phone.  Looks like it works fine and has full capacity.  Good product.","2012-12-28","710","0","0","0","0","0.0","0.0"
"53","A. Cho","4.0","everything about it was great, except for the adapter.  It was to tight i had to use a tool to take it back out of the adapter causing me to chip it. so my fault i guess, but i also bought a 16gb version and the adapter for that one was fine.","2013-10-07","427","0","0","0","0","0.0","0.0"
"54","a_compulsive_reader","5.0","Liked the first one I purchased so much, I bought a second one. Very, very fast read and write speeds at a good price, plus SanDisk has the best software and device compatibility.  Forget thumb drives - this is your most flexible, durable option.  Use direct in your tablet or smart phone and/or buy a decent usb card reader you can load this in and, voila, instant super-speedy, upgradeable thumb drive.  Works great in my tablet and in my newer card reader - and still kicks the butt of every thumb drive I know of even when used with my old plastic USB 2.0 card reader held together with scotch tape, lol.  Have purchased several microSD cards since they first came out, from 2GB to 32GB, and all still work fine - I cannot say the same re the thumb drives I purchased during that same time period.One point - beware of counterfeits.  Samsung is the number one brand so, unfortunately, they get counterfeited a LOT.  So check reviews and only buy from a reliable seller.  I suggest buying direct from Amazon (or Memory Mogul) - I have purchased from both with no issues.","2013-11-23","380","0","0","0","0","0.0","0.0"
"55","acondie13","5.0","Really you can't say anything bad about it. Does what it says. Super fast and great storage size for lots of movies and such.","2014-03-16","267","0","0","0","0","0.0","0.0"
"56","ACZ","4.0","Used in my phone it's plenty fast and works just like it should. Unexpectedly comes with mini and full SD card size adapters, which is nice. &#34;Fool-proof&#34; packaging or whatever it was, that was laughable. Packaging was decent it just shouldn't have bragged about being impossible to mess up when I messed it up.","2013-05-11","576","0","0","0","0","0.0","0.0"
"57","adam","5.0","This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.","2014-08-01","129","0","0","0","0","0.0","0.0"
"58","Adam J. Hanson","5.0","I ordered this for my new Samsung Galaxy note II, and it works awesome! Installed it, and had no problems. I loaded all my music on it, and didn't even scratch the surface of the capacity of this card! I shouldn't ever have to worry about running outta room with this card. Highly recommended for any smartphone user!","2013-01-27","680","0","0","0","0","0.0","0.0"
"59","Adam J. Lomprey ""lompreya""","5.0","Great Deal and much faster file movement.Definitely worth the purchase and sandisk has proved why they have good products.","2013-08-27","468","0","0","0","0","0.0","0.0"
"60","Adam M Barnes","5.0","You'll pay $10 more for these anywhere else. I was initially leery of buying another SD card on amazon. 4 years ago I did so, and the card was a fake (said it had 32 gigs when plugged into the computer, but you could only load about 11 onto it, and it would say &#34;full.&#34; Apparently there's a way to fool your computer into thinking there's more space than there is, and this is what the fake/counterfeit cards will do).Not so with this one. It's the real deal, genuine SanDisk, and contains as many GB as it says it does. I'm a very pleased customer.","2014-12-02","6","0","0","0","0","0.0","0.0"
"61","Adam M.","5.0","Use this in my Samsung Galaxy S4.  Have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.","2014-07-13","148","0","0","0","0","0.0","0.0"
"62","adam smith","5.0","32gb of storage for my new Asus tablet, what's not to love? I can't imagine paying more for the model with the upgraded storage, especially since it's usually like $100 more. This thing was cheap and works great.","2013-11-26","377","0","0","0","0","0.0","0.0"
"63","Adam Sorenson ""Adam""","5.0","excellent quality, excellent speed. no complaints here. very easy to use, reliable and the red stripe on the front makes it easy to find on a crowded desk","2013-12-12","361","0","0","0","0","0.0","0.0"
"64","Adam Wright ""Electrical Engineer""","3.0","This card advertises itself as UHS1 but it's actually UHS50.This means that it will not go up to SDR104 speeds/throughput.Not necessary bad, just false advertising.","2013-09-09","455","1","0","1","1","1.0","0.20654931437723742"
"65","Adan Montiel","5.0","Purchase for HP tablet to have more memory for music download, pictures, and video.  Have enough room to store and some memory left over.","2014-08-02","128","0","0","0","0","0.0","0.0"
"66","Adanna","5.0","Can there be anything wrong with a sandisk product?  the items read to it sooooo quickly, I am quite happy,","2014-03-01","282","0","0","0","0","0.0","0.0"
"67","adavey","5.0","A lot of people want big memory which is fine. But you need to look at speed class. This one is class 10. Which is great when your taking pictures or video. It will not freeze because it can move the MB/s fast enough. Lesser speed cards will freeze or will say waiting for camera and you will miss the moment. Its also a Sandisk which is a name you can trust when it come to memory cards.","2012-12-21","717","0","0","0","0","0.0","0.0"
"68","Adeel Azhari","5.0","fast transfer rates, I downloaded about 2GB of videos form the card to my laptop through a card reader, all in about a minute","2013-07-07","519","0","0","0","0","0.0","0.0"
"69","adg44","5.0","There is something to be said about SanDisk. You plug it in and it just works. I've never had one be DOA or any memory issues throughout the years, both for my camera and storage products. I installed this in my Galaxy SIII and it recognized it right away and I was able to dump my music onto it. Speed seems great as well, no complaints.","2012-11-26","742","0","0","0","0","0.0","0.0"
"70","A discerning buyer","5.0","How do I praise extra memory? It fills my MP3 player with every song my heart desires, the sound quality is perfect. The ease of use is superb. It's great.","2013-08-20","475","0","1","1","-1","0.0","0.0"
"71","Adrian","5.0","All though it states 16gig it only has 14.8gig available but I know that happens and expected it, keep this in mind if your wanting more storage you might want to order the 32gig card.  It was exactly what i expected and needed so no complaints.","2012-06-12","909","0","0","0","0","0.0","0.0"
"72","Adrian","5.0","does the job as advertised.if you need extra memory on your phone/tablet or whatever device, this is bext buy(price/quality)","2014-10-02","67","0","0","0","0","0.0","0.0"
"73","Adrianne Ayres ""Sabrina""","5.0","Needed for my cell phone - works perfectly.  SanDisk has never been a disappointment in the 30 plus years I've been in IT/computer work.","2013-12-16","357","0","0","0","0","0.0","0.0"
"74","A E D III","5.0","Priced right, this memory card also reads and writes fast. It's a noticeable difference over cheaper cards. I put it in my phone and plan to buy another one for my tablet.","2013-11-10","393","0","0","0","0","0.0","0.0"
"75","A. Felson","5.0","works great on my sprint htc evo 4g lte.  Formatted w/ fat32 so of course the maximum file size is 4gb meaning no full length hidef movies.  However, this isn't a problem;  I bought the card for putting a music library on my phone.Like all class 10 micro-sdhc cards, it does NOT do 10MB/s, but it's closer than any other class 10 card I've ever tried.  Most do 3-4MB/s.  Kingston 32GB did 7MB/s.  This card does about 8-9MB/s.Can't wait till 128GB and 256GB cards become available and affordable.","2012-10-15","784","1","1","2","0","0.5","0.09453120573423071"
"76","A.Fenderson","5.0","**Update 6.24.14**My 128 GB card stopped allowing writes via any of my card-readers on a Windows PC--either when it was inside any of several full-size SD card adapters (with the write-protect tab in either position) or plugged directly into the microSD slot of the reader.  MicroSD cards have no write-protect tab, so I was quite surprised and worried by this.  After failing to find any workable solution by searching online, I finally put it in my Chromebook and created a new folder on it there, then stuck it back in my Windows PC and it no longer gave me a write-protect error.  If anyone has a similar problem, I'd recommend doing something similar by putting it in any other PC, laptop, camera, etc you have available and try writing to it there.----------------------------------------------This portion of my review is necessarily being written as an update to my original review of the 64 GB version of this card, since Amazon disallows multiple reviews for what they consider the same item.  This portion concerns the 128 GB version of this card:I don't need a fast card, so the speeds on this card were not that important, besides which my test PC is not exactly high-end. Therefore I didn't count off for the speed results I got below, using a USB 2.0 card adapter, but I thought they might be relevant to some readers. While the card did reach the Class-10 and/or UHS-I requirements, it came in at under 2/3 of the claimed ""read speeds up to 30 MB/s for fast file transfer.""  Then again, running on a second PC using a different USB 2.0 card reader, none of the speeds even hit 5 MB/s, so this seems to be highly system-dependent.I only just got the card this week, and so far it works on *select* SDXC-compatible devices and exFAT-compatible operating systems:  some SDXC-compatible devices, such as the Panasonic HDC-TM40, do not allow cards larger than 64 GB (for whatever reason); this was stated in the manual, and I've confirmed this card is recognized as broken/corrupt/unusable in that device, whereas 64 GB exFAT cards work fine.  The 128 GB works fine (with original exFAT formatting) in my Toshiba Excite 7.7 Android tablet, and (predictably) not at all in my non-SDXC-compatible Galaxy Note 2 (though it possibly would if reformatted to FAT32, since a 64 GB card in FAT32 works fine there).I'll update my review to reflect any problems, issues, etc that I notice in the coming days & weeks.-----------------------------------------------------------------------CrystalDiskMark 3.0.3 (C) 2007-2013 hiyohiyoCrystal Dew World : [url removed as per Amazon rules]-----------------------------------------------------------------------* MB/s = 1,000,000 byte/s [SATA/300 = 300,000,000 byte/s]Sequential Read : 18.694 MB/sSequential Write : 11.921 MB/sRandom Read 512KB : 18.502 MB/sRandom Write 512KB : 0.680 MB/sRandom Read 4KB (QD=1) : 3.339 MB/s [ 815.1 IOPS]Random Write 4KB (QD=1) : 1.581 MB/s [ 386.1 IOPS]Random Read 4KB (QD=32) : 3.151 MB/s [ 769.4 IOPS]Random Write 4KB (QD=32) : 1.564 MB/s [ 381.8 IOPS]Test : 1000 MB [G: 0.0% (0.0/119.1 GB)] (x5)Date : 2014/04/24 16:53:49OS : Windows XP Professional SP3 [5.1 Build 2600] (x86)-------------------------------------------------------------------------------------------------------------------------------The following is my original review of the 64 GB version of this card, published April 24, 2013:This is a high-quality card.  I've used it in a variety of devices, through multiple readers on different pcs, in an HD camcorder using a micro to full-sized SD adapter, and I've never once had a problem with it.  It even works at full capacity in *some* microSDHC-only devices once its reformatted to FAT32 (such as my SanDisk Clip+ FLAC player and supposedly even PSPs via a proper adapter, though I haven't yet tested my PSP).  I keep anticipating someone coming out with a card with equal or better capacity and speeds at a comparable price, but I haven't seen one yet.  If these were cheaper, I'd have several by now.Make sure your device can handle micro or full-sized SDXC cards, or is one of those rare gems that state they support only as high as SDHC but have been tested to work with SDXC cards such as this one once they've been manually reformatted to FAT32.","2013-04-24","593","3","0","3","3","1.0","0.4385029682449545"
"77","AF","5.0","Works great in the phone and the wife loves it, we got a second for her mom and she is storing lots of pictures and videos on it","2014-06-22","169","0","0","0","0","0.0","0.0"
"78","A. Flores","5.0","I loaded this card up with home movies for my Samsung Galaxy Tab 2. The copy process from computer to card was fast. There are no skips in the movie quality and I have plenty of room left to go. Wish I had bought another for more collections.","2013-01-25","682","0","0","0","0","0.0","0.0"
"79","A. Garcia","5.0","Bought this for my S3 and loaded it with 4 seasons of Futurama, 5 full length HD movies, several documentaries, and a dozen or so 30 minute comedy shows with plenty of room left over for pictures, etc...Only slight nitpick is when booting up into recovery mode on the S3 it will not recognize the card. Wanted to update the phone to the latest version of Android and it would not see it. Had to resort to a 2GB MicroSD I had laying around. That wasn't a SD card issue but I thought I would throw that in.","2013-07-29","497","0","0","0","0","0.0","0.0"
"80","Agean2010","5.0","I purchased this after my wife and I bought our Samsung Galaxy S4 to store all the music, pictures and videos.  The S4 camera is capable of capturing 16-megapixels photos so the 16GB microSD that I had will not suffice.  As a matter of fact I've already exhausted the remaining space on the card so this 64GB will allow me to take more photos (of our son).","2014-07-01","160","0","0","0","0","0.0","0.0"
"81","Aggies82","5.0","Great storage, has not failed yet after about a year of usage.","2014-06-30","161","0","0","0","0","0.0","0.0"
"82","A. Ghayyath ""AAG""","5.0","Since the wife is using it and it is not causing any problems, then it must be functioning normally. Looks good so far.","2013-06-02","554","0","0","0","0","0.0","0.0"
"83","A.G.","5.0","Class 10 speeds are the only way to fly and with 29.71GB of usable space I think I should be good for a while.","2014-06-04","187","0","0","0","0","0.0","0.0"
"84","A. Gill ""Measure Twice, Cut Once""","5.0","The subject says it all.  Does what it's supposed to do ... at a great price.  When it's on sale, buy it.","2012-11-27","741","0","0","0","0","0.0","0.0"
"85","A. GONZALEZ MEDINA","5.0","Lot of questions about this memory card fitting the Samsung Galaxy Tab 3 10.1 tablet.  It fits and works no problem at all. The only thing is that after installing, instead of showing 64GB available, it only shows 59GB.Tried formatting the card but with same results.Have no idea if this is a limit set by the the Galaxy Tab 3 tablet, or is it just &#34;normal&#34; to buy 64GB and get less than that.As this is surely not a problem coming from the Sandisk memory card, my rating is a 5-STAR.  Excellent price, works great, and very quick delivery.","2014-02-17","294","0","0","0","0","0.0","0.0"
"86","Agustin","5.0","When it comes to any kind of flash storage SanDisk has always been my go to brand because they sell quality items and stand by them if there's a problem. So as usual no complaints here, it works as descried and I haven't have any issues. Both read and write speeds are right where the specs say they should be.","2014-03-26","257","0","0","0","0","0.0","0.0"
"87","Agustin Mangialavori","5.0","High speed, high capacity of storage. Great durability. I use in my phone and in my digital camera. Work very good","2013-11-06","397","0","0","0","0","0.0","0.0"
"88","A. Gutierrez","5.0","THis memory helps me to keep all what I want to keep on my cell phone.It is a good brand and its on the right price.","2014-04-21","231","0","0","0","0","0.0","0.0"
"89","A. Hejazi","4.0","I bought this SD card for my android phone thinking that a class 10 will be faster and more reliable than others. it turns out, the difference in class doesn't really matter at least for Android phones. didn't really worth the price difference","2013-12-12","361","0","0","0","0","0.0","0.0"
"90","A.","5.0","The SanDisk 32GB Micro SD Class 10 is a reliable SD card with amazing transfer speeds. There is no noticeable lag transfering even the largest RAW images to it. Hadn't had any problem with it.","2013-04-13","604","0","0","0","0","0.0","0.0"
"91","ahhsimon","4.0","good card. work as describes. haven't had any issue with it or going pass metal detectors. no lost files or missing files.","2014-06-02","189","0","0","0","0","0.0","0.0"
"92","Aileen Nguyen","5.0","Bought this to store music on my phone. Works flawlessly after three months so far, no problems.In my card reader, I average 6-8 megabytes read and write to it.","2014-03-26","257","0","0","0","0","0.0","0.0"
